name,verbatim_name,verbatimLocality,decimalLatitude,decimalLongitude,place,date,usageKey,acceptedUsageKey,scientificName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,occurrenceID,basisOfRecord,occurrenceStatus,year,month,day,InstitutionID,InstitutionCode,geodeticDatum,continent,country,countryCode,locationID
Lycopodium selago L.,Lycopodium selago L.,Antarctichamna,72.0185393852121,-23.0546141666577,date1,1930-08-11T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:4050a00a3eb69d02198fa868fc818389,HumanObservation,presence,1930,8,11,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Kapp Petersen,72.4168450055533,-24.5718994042612,date1,1930-08-09T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:cb9756e6ac5d004bfa7d1ae7b7d8c657,HumanObservation,presence,1930,8,9,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Holmvika,72.5078737819493,-24.0006877034132,date1,1929-08-11T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:e81c7882270ce519a657caf378695ba8,HumanObservation,presence,1929,8,11,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Veganeset,72.8348822643402,-23.1666758557105,date1,1929-08-07T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:739ecd793cd60730ea7cce9cf0a4d354,HumanObservation,presence,1929,8,7,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Gasøya,72.7994532662258,-22.9244892461657,date1,1929-08-09T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:ebcbea9241899d87385ab712ebc69150,HumanObservation,presence,1929,8,9,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Husbukt,72.8476155925744,-22.9464860300615,date1,1929-08-08T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:6afec35b577405206911f8edf6809f7e,HumanObservation,presence,1929,8,8,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Husbukt,72.8476155925744,-22.9464860300615,date2,1929-08-09T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:71db525bd80abf78260a1e669f63ed7f,HumanObservation,presence,1929,8,9,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Husbukt,72.8476155925744,-22.9464860300615,date3,1929-08-10T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:bab17283238a182e28ab90c9be790121,HumanObservation,presence,1929,8,10,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,Husbukt,72.8476155925744,-22.9464860300615,date4,1930-08-15T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:79748582f51ba9a6ab701c490c454cd9,HumanObservation,presence,1930,8,15,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
Lycopodium selago L.,Lycopodium selago L.,5 kilometres west of Husbukt,72.8616330771541,-23.0874352624784,date1,1930-08-16T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:3b5d569a3e9881684cae5cd74c7a2721,HumanObservation,presence,1930,8,16,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO
