name,verbatim_name,verbatimLocality,decimalLatitude,decimalLongitude,place,date,usageKey,acceptedUsageKey,scientificName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,occurrenceID,basisOfRecord,occurrenceStatus,year,month,day,InstitutionID,InstitutionCode,Geodetic_datum,continent,country,countryCode,locationID,geodeticDatum
Lycopodium selago L.,Lycopodium selago L.,15 kilometres west of Husbukt,72.8783842853397,-23.3870102993493,date1,1930-08-17T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:3fd83e7d2e6fd0178ff8ee20370b408c,HumanObservation,presence,1930,8,17,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,Sanddale,73.0155381155122,-23.7615879834466,date1,1930-08-18T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:7bae65bf043a1f0f86b340a78e786094,HumanObservation,presence,1930,8,18,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,5 kilometres west of Robertson 0ya,73.0644336712976,-23.2205693216455,date1,1930-08-19T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:9817053432c8bf06e10d3a30088d63ac,HumanObservation,presence,1930,8,19,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,Kapp Humboldt,73.0956513590331,-23.0158721409927,date1,1929-08-03T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:cf5c715d835758af9a3cc84142907a7c,HumanObservation,presence,1929,8,3,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,Kapp Humboldt,73.0956513590331,-23.0158721409927,date2,1929-08-04T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:8c82ef7a699b424bd6e496a16279d96e,HumanObservation,presence,1929,8,4,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,Kapp Humboldt,73.0956513590331,-23.0158721409927,date3,1929-08-05T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:24b83dc4867f34f0b7ae0fb46f6048e0,HumanObservation,presence,1929,8,5,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,Kapp Humboldt,73.0956513590331,-23.0158721409927,date4,1930-08-03T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:df20770ed74c33c2b6a7f9eddf15e282,HumanObservation,presence,1930,8,3,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,"Röhssfjordsundet, S. side",72.7061234832469,-26.8042700466174,date1,1930-08-14T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:0c70845da3085fe42a5c1271fdd1f67c,HumanObservation,presence,1930,8,14,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,"Dicksonfjorden, N. side, about 3 km from the head",72.8252259205405,-27.3458553968876,date1,1930-08-13T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:d4d5975e5842ed0204dfe1384304579f,HumanObservation,presence,1930,8,13,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
Lycopodium selago L.,Lycopodium selago L.,Kapp Bennet,73.3780209423858,-21.6827238027962,date1,1929-08-02T00:00:00Z,6385637,7286567,Lycopodium selago L.,SPECIES,SYNONYM,100,EXACT,Plantae,Tracheophyta,Lycopodiales,Lycopodiaceae,Huperzia,Huperzia selago,6,7707728,245,421,6725,2688450,8190643,TRUE,Lycopodiopsida,urn:vpferl:e2f2ea9ec336e6f232ec14325fef637b,HumanObservation,presence,1929,8,2,https://ror.org/0342y5q78,GINR,wgs84,NORTH_AMERICA,Greenland,GL,TDWG:GNL-OO,wgs84
