no,no,occurrenceID,institutionID,institutionCode,basisOfRecord,occurrenceStatus,eventDate,year,month,day,locationID,continent,island,country,countryCode,verbatimLocality,decimalLatitude,decimalLongitude,geodeticDatum,scientificName,originalNameUsage,kingdom,phylum,class,order,family,genus,specificEpithet, infraspecificEpithet,taxonRank,locationRemarks,taxonomicRemarks
97,097,urn:097dat0ch3kd,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Armeria maritima subsp. sibirica (Turcz. ex Boiss.) Nyman,Statice Ameria L. var. sibirica (Turcz.) Rosenv.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Armeria,maritima,sibirica,SUBSPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ","Accepted names in accourdance with Lawrence, G. H. M. (1947). The Genus Armeria in North America. American Midland Naturalist, 37(3), 757. doi: 10.2307/2421472 and GBIF"
29,029,urn:029trummxf2y,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Carex aquatilis var. stans (Drejer) Boott,Carex aquatilis (Wahlenb.) var. stans (Drej.) Boott.,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,aquatilis,stans,VARIETY,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
4,004,urn:004muczmd3xx,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Alopecurus alpinus Sm.,Alopecurus alpinus SM.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Alopecurus,alpinus,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
49,049,urn:04920hntwfyf,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Alsine biflora (L.) Wahlenb.,Alsine biflora (L.) Wahlenb.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cherleria,biflora,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
50,050,urn:050mopqt37t5,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Alsine verna (L.) Wahlenb.,Alsine verna (L.) Wahlenb.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Sabulina,verna,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
52,052,urn:052dsknshhzj,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Ammodenia peploides (L.) Rupr.,Ammodenia peploides (L.) Rupr.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Honckenya,peploides,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
109,109,urn:109m2ral76km,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Antennaria alpina (L.) Gaertn.,Antennaria alpina R. Br.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Antennaria,alpina,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
110,110,urn:110p5ni94v9z,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Antennaria glabrata (J.Vahl) Porsild,Antennaria glabrata (J. Vahl) Porsild Ms.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Antennaria,glabrata,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
67,067,urn:067cokga17mf,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Arabis alpina L.,Arabis alpina L.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabis,alpina,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
7,007,urn:007shqwlbbos,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Arctagrostis latifolia (R.Br.) Griseb.,Arctagrostis latifolia (R. Br.) GRISEB.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Arctagrostis,latifolia,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
111,111,urn:111itpeizbsd,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Arnica alpina (L.),Arnica alpina (L.) Laest.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Arnica,alpina,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
6,006,urn:006f6lm7zv4e,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,"Calamagrostis neglecta G.Gaertn., B.Mey. & Scherb.",Calamagrostis neglecta (Ehrh.) Fl. D. Wett.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Achnatherum,neglecta,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
105,105,urn:105jhqutkwhm,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Campanula rotundifolia L.,Campanula rotundifolia L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Campanula,rotundifolia,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
104,104,urn:1049axrxn5fs,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Campanula uniflora L.,Campanula uniflora L.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Melanocalyx,uniflora,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
69,069,urn:069yap0avmgl,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Cardamine bellidifolia L.,Cardamine bellidifolia L.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,bellidifolia,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
26,026,urn:0260tvmfkn11,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Carex glareosa Schkuhr ex Wahlenb.,Carex glareosa Wahlenb.,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,glareosa,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
24,024,urn:024evuv8eeii,https://ror.org/0342y5q78,GINR,HumanObservation,presence,1909-08-22,1909,8,22,TDWG:GNL-OO,North_America,Qeqertarsuatsiaq,Greenland,GL,Qeqertarsuatsiaq (Hare island),70.45920108,-54.98272699,wgs84,Carex incurva Lightf.,Carex incurva Lightf.,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,incurva,,SPECIES,"A number of locations was visited by Posild during August 22 and 23, but as the report for most taxa does not account for the exact date or location of observation all of the observation have the same coordinate and date. ",
